127.0.0.1 - - [15/Jul/2020:23:21:28 -0700] "GET / HTTP/1.1" 200 11216
0:0:0:0:0:0:0:1 - - [15/Jul/2020:23:49:17 -0700] "GET /Titan/ HTTP/1.1" 200 3163
0:0:0:0:0:0:0:1 - - [15/Jul/2020:23:49:17 -0700] "GET /Titan/styles/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2020:23:49:17 -0700] "GET /Titan/scripts/main_temp.js HTTP/1.1" 200 10934
0:0:0:0:0:0:0:1 - - [15/Jul/2020:23:49:17 -0700] "GET /Titan/styles/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2020:23:49:17 -0700] "GET /Titan/scripts/main_temp.js HTTP/1.1" 200 10934
0:0:0:0:0:0:0:1 - - [15/Jul/2020:23:49:28 -0700] "GET /Titan/search?user_id=1111&lat=37.38&lng=-122.08 HTTP/1.1" 500 1314
0:0:0:0:0:0:0:1 - - [15/Jul/2020:23:49:52 -0700] "POST /Titan/login HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [15/Jul/2020:23:49:53 -0700] "POST /Titan/login HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [15/Jul/2020:23:50:01 -0700] "POST /Titan/login HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [15/Jul/2020:23:50:03 -0700] "POST /Titan/login HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [15/Jul/2020:23:50:08 -0700] "GET /Titan/logout HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [15/Jul/2020:23:52:57 -0700] "GET /Titan/scripts/main_temp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2020:23:52:58 -0700] "GET /Titan HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jul/2020:23:52:58 -0700] "GET /Titan/scripts/main.js HTTP/1.1" 200 14032
0:0:0:0:0:0:0:1 - - [15/Jul/2020:23:52:58 -0700] "GET /Titan/ HTTP/1.1" 200 3163
0:0:0:0:0:0:0:1 - - [15/Jul/2020:23:53:39 -0700] "GET /Titan/ HTTP/1.1" 200 3163
0:0:0:0:0:0:0:1 - - [15/Jul/2020:23:53:44 -0700] "GET /Titan/ HTTP/1.1" 200 3163
0:0:0:0:0:0:0:1 - - [15/Jul/2020:23:53:58 -0700] "POST /Titan/login HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [15/Jul/2020:23:54:17 -0700] "GET /Titan/ HTTP/1.1" 200 3158
0:0:0:0:0:0:0:1 - - [15/Jul/2020:23:54:17 -0700] "GET /Titan/scripts/main.js HTTP/1.1" 200 14032
0:0:0:0:0:0:0:1 - - [15/Jul/2020:23:57:17 -0700] "GET /Titan HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jul/2020:23:57:17 -0700] "GET /Titan/ HTTP/1.1" 200 3158
0:0:0:0:0:0:0:1 - - [15/Jul/2020:23:57:18 -0700] "GET /Titan/styles/main.css HTTP/1.1" 200 3807
0:0:0:0:0:0:0:1 - - [15/Jul/2020:23:57:18 -0700] "GET /Titan/scripts/main.js HTTP/1.1" 200 14032
0:0:0:0:0:0:0:1 - - [15/Jul/2020:23:57:18 -0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [15/Jul/2020:23:57:26 -0700] "GET /Titan/search?user_id=1111&lat=37.402018399999996&lon=-122.01252950000001 HTTP/1.1" 200 9816
0:0:0:0:0:0:0:1 - - [15/Jul/2020:23:58:59 -0700] "GET /Titan/ HTTP/1.1" 200 3163
0:0:0:0:0:0:0:1 - - [15/Jul/2020:23:58:59 -0700] "GET /Titan/scripts/main_temp.js HTTP/1.1" 200 10934
0:0:0:0:0:0:0:1 - - [15/Jul/2020:23:58:59 -0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [15/Jul/2020:23:58:59 -0700] "GET /Titan/search?user_id=1111&lat=37.402018399999996&lng=-122.01252950000001 HTTP/1.1" 500 1314
0:0:0:0:0:0:0:1 - - [15/Jul/2020:23:58:59 -0700] "GET /Titan/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jul/2020:23:58:59 -0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [15/Jul/2020:23:58:59 -0700] "GET /Titan/search?user_id=1111&lat=37.402018399999996&lng=-122.01252950000001 HTTP/1.1" 500 1314
